id	fdr.pvalue.TCP 0m DMSO vs JE6 0m DMSO	fdr.pvalue.N22 0m DMSO vs JE6 0m DMSO	fdr.pvalue.SHP 0m DMSO vs JE6 0m DMSO	fdr.pvalue.TCP 5m DMSO vs JE6 5m DMSO	fdr.pvalue.N22 5m DMSO vs JE6 5m DMSO	fdr.pvalue.SHP 5m DMSO vs JE6 5m DMSO	TCP 0m DMSO vs JE6 0m DMSO	N22 0m DMSO vs JE6 0m DMSO	SHP 0m DMSO vs JE6 0m DMSO	TCP 5m DMSO vs JE6 5m DMSO	N22 5m DMSO vs JE6 5m DMSO	SHP 5m DMSO vs JE6 5m DMSO
PERT-PSP_VIRUS_INFECTION	0.286119007489946	0.544358680998267	0.019475601399358	0.0319950703891549	0.127889652762964	0.353600579144336	2.0504	-1.319	3.3887	3.1685	-2.2943	1.8208
PERT-PSP_VANADATE	0.0727514415563419	0.828039430449069	0.271529762644464	0.0297099156843597	0.128770172133282	0.705883298354359	2.9191	-0.6188	2.1201	3.5715	-2.5679	0.9014
PERT-PSP_UV	0.140249966742894	0.0384197715783561	0.487452049132687	0.0239467849223947	0.0145572179539021	0.483208473262723	2.4841	-3.3303	1.4429	3.3593	-4.1367	1.4992
PERT-PSP_U0126	0.158863648965861	0.231500589622642	0.787834607422398	0.327437334050741	0.0502818970152257	0.86740024918074	-2.3613	1.8713	-0.7032	-1.7799	2.9653	0.6101
PERT-PSP_TNF	0.317346600331675	0.11321449651753	0.019475601399358	0.0316395950652648	0.0155373327578766	0.493348595039015	1.9575	-2.6704	3.523	3.2016	-3.8394	1.4732
PERT-PSP_THROMBIN	0.115262103615486	0.946286656567673	0.606741573033708	0.044241896666496	0.351018278023191	0.945974598183811	2.7045	0.3202	1.1392	3.151	-1.8314	0.2946
PERT-PSP_TGF_BETA	0.338811169679173	0.558503845389789	0.670558491787542	0.0887211175494698	0.453456633604296	1	1.7147	-1.2645	-1.0395	2.6688	-1.5554	0.1102
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.583359025268532	0.853322579075088	0.0239467849223947	0.73767202301107	0.0316395950652648	0.513024846210455	1.1877	-0.6404	3.2932	-0.8465	-3.1478	1.4196
PERT-PSP_SORBITOL	0.318112695737947	0.562841530054645	0.148412116130385	0.0222994904153487	0.258374876340853	0.421343282512582	1.7923	-1.2247	2.5111	3.1881	-1.8262	1.6494
PERT-PSP_PRL	1	0.881692141457632	0.0369885633906183	0.473645172304178	0.560561753804317	1	-0.0625	-0.57	2.9222	1.4853	-1.2538	0.0843
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.303218273370795	0.32063309352518	0.0155373327578766	0.0319950703891549	0.0316395950652648	0.483208473262723	2.0058	-1.9214	3.4587	3.2068	-3.1305	1.4811
PERT-PSP_PHORBOL_ESTER	0.0837788540159758	1	0.0145572179539021	0.0222994904153487	0.363182439116303	0.520323997201689	2.815	0.0332	3.6891	3.3972	-1.7839	1.358
PERT-PSP_PDGF	0.304994412796015	0.922326815061369	0.0453265838477233	0.441654661452974	0.118471337579618	0.881692141457632	1.986	0.4118	2.8118	1.5618	-2.3743	-0.5544
PERT-PSP_PD98059	0.868695076725258	0.671847359250055	0.878646556856519	0.852863540146909	0.37166275897757	0.355574859922686	-0.5181	-0.9645	-0.4899	0.5587	1.7559	1.7815
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.2880141356631	0.558977683608878	0.0222994904153487	0.0384197715783561	0.136573609158466	0.35273416277668	2.0495	-1.293	3.422	3.1957	-2.2957	1.8478
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.184466730107606	0.258374876340853	0.0384197715783561	0.396990255334896	0.553005393592552	0.852344010036613	2.3345	1.8397	2.8496	1.6327	-1.2747	0.5996
PERT-PSP_OKADAIC_ACID	0.204137014820185	0.621135638080166	0.86305598389386	0.465032464637919	0.0155373327578766	0.265796352509662	2.2925	-1.2085	0.5346	1.5196	-3.5091	-1.9417
PERT-PSP_LPS	0.13985413985414	0.570724210199488	0.61606430777704	0.0401865449493947	0.0530004532933505	1	2.5218	-1.2268	1.1087	3.0744	-2.8622	0.0164
PERT-PSP_LPA	0.294086563037191	0.541644917769693	0.0214463369954278	0.0376175548589342	0.136616704452529	0.355574859922686	2.0202	-1.3317	3.4464	3.1736	-2.3065	1.826
PERT-PSP_INSULIN	0.473094888662082	0.208729445686467	0.0214463369954278	0.0477749270105282	0.0376175548589342	0.477800650656306	1.5064	-2.3236	3.4639	3.0456	-3.1308	1.4899
PERT-PSP_IMATINIB	0.650558375634518	0.880880011319856	0.79817807501904	0.791528093907731	0.197639101982027	0.655618341566739	-1.046	-0.4774	-0.7089	-0.7133	-2.3691	1.1136
PERT-PSP_IL_2	0.665492957746479	0.828039430449069	0.35981684580658	0.159929284829044	0.945974598183811	1	1.004	0.6232	1.8301	2.408	0.3196	-0.1023
PERT-PSP_IL_1B	0.304994412796015	0.319115976453578	0.0155373327578766	0.0343003236828385	0.0222994904153487	0.483151175689683	1.9676	-1.9373	3.4632	3.2005	-3.1039	1.4998
PERT-PSP_IL_1A	0.304269794231813	0.305834466641439	0.0155373327578766	0.0369885633906183	0.0384197715783561	0.477800650656306	1.9556	-1.9537	3.4767	3.2051	-3.1033	1.4895
PERT-PSP_HGF	0.619180414807225	0.483208473262723	0.0214463369954278	0.770870503509407	0.0155373327578766	0.655618341566739	1.1242	-1.475	3.2987	-0.7762	-3.7417	1.0918
PERT-PSP_HEREGULIN	0.201187052560729	0.96802174948736	0.875044562454569	0.511592844627358	0.0530004532933505	0.311866747844103	2.2967	0.2835	0.4938	1.4005	-2.873	-1.7688
PERT-PSP_H2O2	0.35981684580658	0.977680023152411	0.217522110971523	0.0443405816498966	0.813481059995719	0.319115976453578	1.6846	0.2435	2.2401	2.8878	-0.6641	1.9243
PERT-PSP_GEFITINIB	0.457068413608278	0.493348595039015	0.513024846210455	0.553005393592552	0.432096215756545	0.212591609440822	1.5325	1.4281	-1.3991	-1.331	-1.6157	-2.0674
PERT-PSP_FIBRONECTIN	0.184466730107606	0.974143114852676	0.881415423395961	0.514998413838011	0.0514452001801448	0.319115976453578	2.3455	0.2804	0.4866	1.4023	-2.899	-1.7416
PERT-PSP_FGF2	0.910524481771114	1	0.903195691076137	0.669668188818936	0.290896872408803	0.734409603382323	-0.3944	-0.0934	0.4222	1.0403	2.0225	0.8266
PERT-PSP_FGF1	0.549387188816373	0.588883222597225	0.0487634551015002	0.564001661314766	0.121457489878542	0.875044562454569	1.2731	-1.2682	2.8005	1.2794	-2.3382	-0.6004
PERT-PSP_ETOPOSIDE	0.332260177301366	0.0834384039160424	0.751436662425487	0.0376175548589342	0.0943697534695649	0.40170601071216	1.7363	-2.7287	-0.8239	2.9377	-2.5265	1.69
PERT-PSP_ERLOTINIB	0.734409603382323	0.136616704452529	0.825408849270226	0.714441483963743	0.0376175548589342	0.442638992668951	0.8562	2.3262	-0.6202	-0.9483	3.1238	1.5503
PERT-PSP_EPO	1	0.880880011319856	0.0369885633906183	0.477800650656306	0.56602828806153	1	-0.0622	-0.5672	2.9221	1.4815	-1.2428	0.0851
PERT-PSP_EGF	0.715520537287415	0.286119007489946	0.793767691090986	0.322909215759206	0.0888086642599278	0.453456633604296	-0.8603	-2.085	0.6831	1.8943	-2.9246	1.5444
PERT-PSP_DASATINIB	0.183894230769231	0.549387188816373	0.700021365238757	0.73767202301107	0.0343003236828385	0.913537185496899	-2.3436	1.3421	-0.9044	-0.8779	3.3253	0.3794
PERT-PSP_CYCLIC_STRETCH	0.185987492069247	0.978339938249115	0.883545608100054	0.524678098664215	0.0585644319669121	0.319115976453578	2.3096	0.2727	0.4775	1.3851	-2.8591	-1.7665
PERT-PSP_CXCL12	0.40170601071216	0.547374955966442	0.0376175548589342	0.476407211888254	0.447046887588687	0.841095963179523	1.6989	1.3476	2.9143	1.4919	-1.5566	0.6366
PERT-PSP_CISPLATIN	0.127889652762964	0.148412116130385	0.531973766322458	0.0316395950652648	0.0484433775490002	0.358466951614046	2.5539	-2.3027	1.3306	3.3316	-2.9282	1.8368
PERT-PSP_BACTERIAL_INFECTION	0.295211396532982	0.544358680998267	0.0145572179539021	0.0376175548589342	0.127889652762964	0.355719825237948	2.0387	-1.323	3.403	3.1643	-2.3329	1.8282
PERT-PSP_ARSENITE	0.68863513800732	0.202260131001224	0.211750494439773	0.0637881665863408	0.240092853589786	0.305834466641439	0.9205	-2.3638	2.2298	2.7193	-2.1866	2.0002
PERT-PSP_ANTI_IGM	0.441654661452974	1	0.0145572179539021	0.183894230769231	0.287539936102236	0.657925765221902	1.6153	0.131	3.4676	2.3482	-1.9905	1.1108
PERT-PSP_ANTI_CD3	0.0726491606107014	0.17699350226557	0.655618341566739	0.0369885633906183	0.0145572179539021	0.0376175548589342	3.1731	2.4771	-1.0047	3.8358	4.2839	3.7655
PERT-PSP_ANISOMYCIN	0.304934079822912	0.211974431790759	0.0155373327578766	0.0341268496149239	0.0341268496149239	0.35273416277668	1.9666	-2.3274	3.4623	3.1574	-3.2466	1.8249
PERT-P100-DIA2_SOTRASTAURIN	0.501268867309248	1	0.789473684210526	0.606868458515726	0.875044562454569	0.978339938249115	-1.3913	0.0941	0.7242	-1.158	-0.5039	-0.229
PERT-P100-DIA2_RGFP966	0.493348595039015	0.317346600331675	0.817264500693767	0.943091243520428	0.189107550210329	1	-1.4336	-1.8601	-0.6471	-0.3238	-2.0409	-0.0608
PERT-P100-DIA2_RESVERATROL	0.671748168679469	0.0691061787642472	0.0691061787642472	0.700667589187735	0.0767663365398285	0.323428883210522	1.0313	-2.6189	-2.4021	-0.9594	-2.5923	-1.8975
PERT-P100-DIA2_PAZOPANIB	0.53029938833287	0.184466730107606	0.0446282467049478	0.2880141356631	0.361597892281341	0.297080768834027	1.358	-2.1099	-2.6819	1.9544	-1.7176	-2.0194
PERT-P100-DIA2_LOSMAPIMOD	0.35981684580658	0.0644904458598726	0.903559736195502	0.845932101355246	0.0239467849223947	0.525335991640744	1.7589	-2.678	-0.4007	0.5858	-3.3052	-1.3726
PERT-P100-DIA2_LENALIDOMIDE	0.375426270066197	0.208136147508043	0.708016448012532	0.189107550210329	0.0760067049685865	0.473422257614971	1.7057	-1.8612	-0.8916	2.0755	-2.6249	-1.5118
