id	fdr.pvalue.TCP 0m U0126 vs JE6 0m U0126	fdr.pvalue.N22 0m U0126 vs JE6 0m U0126	fdr.pvalue.SHP 0m U0126 vs JE6 0m U0126	fdr.pvalue.TCP 5m U0126 vs JE6 5m U0126	fdr.pvalue.N22 5m U0126 vs JE6 5m U0126	fdr.pvalue.SHP 5m U0126 vs JE6 5m U0126	TCP 0m U0126 vs JE6 0m U0126	N22 0m U0126 vs JE6 0m U0126	SHP 0m U0126 vs JE6 0m U0126	TCP 5m U0126 vs JE6 5m U0126	N22 5m U0126 vs JE6 5m U0126	SHP 5m U0126 vs JE6 5m U0126
PERT-PSP_VIRUS_INFECTION	0.0265227235890157	0.0226688355984678	0.751475933799986	0.0278417488742997	0.183368910036392	0.468940188940117	-2.6078	-3.5247	0.7146	3.3263	-2.2781	1.3918
PERT-PSP_VANADATE	0.0265227235890157	0.111019736842105	0.0972685784347115	0.00605693519079346	0.243393655754236	0.0976167744081812	-3.3677	-2.6974	2.1275	4.4612	-2.0444	2.6896
PERT-PSP_UV	0.0278417488742997	0.123244937413345	0.0699906507586609	0.00432	0.266043887022322	0.284018827448335	-3.34	-2.5486	2.3731	4.6709	-1.9435	1.9009
PERT-PSP_U0126	0.0396582924020587	0.0430500192876431	0.796570567470771	0.0736611586701175	0.333629060010251	0.468940188940117	2.4602	3.0078	-0.5941	-2.8562	1.7641	-1.3929
PERT-PSP_TNF	0.0320448628079311	0.109922918249919	0.0925916939233061	0.00432	0.241220149892083	0.0951177735395231	-3.3851	-2.6202	2.1073	4.4416	-1.9992	2.7063
PERT-PSP_THROMBIN	0.0278417488742997	0.100840336134454	0.100936307677381	0.00432	0.238792532768436	0.0951177735395231	-3.3459	-2.6934	2.116	4.5235	-2.024	2.6582
PERT-PSP_TGF_BETA	0.642267978248916	0.284878444084279	0.483334833763842	0.473706199316543	0.328203078153108	0.488054993091102	1.0026	-1.887	1.3026	1.358	-1.7532	1.2954
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.0324501450182134	0.0430500192876431	0.795674398153237	0.0646637442531808	0.323734256401702	0.467306035332346	-2.467	-3.0026	0.6082	2.8687	-1.7976	1.413
PERT-PSP_SORBITOL	0.983329532751054	0.0601462379117855	0.916679577824048	0.547766317255965	0.1239219994507	0.584720410043075	0.1709	-2.7002	-0.3206	1.1872	-2.4887	1.0667
PERT-PSP_PRL	0.0363475041686426	0.0360118324592366	0.79432996796221	0.0593656028712775	0.323734256401702	0.467306035332346	-2.436	-3.0019	0.6136	2.8979	-1.7718	1.3871
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.379687631252638	0.264573767219006	0.103633176365449	0.0186335403726708	0.188006343132145	0.863254419301977	-1.6077	-1.949	2.0389	3.7577	-2.2375	0.4507
PERT-PSP_PHORBOL_ESTER	0.0186335403726708	0.108173076923077	0.092546109352832	0.00432	0.247688570665514	0.092546109352832	-3.4187	-2.7055	2.1004	4.4356	-2.0087	2.7242
PERT-PSP_PDGF	0.0299102691924227	0.0430500192876431	0.79432996796221	0.0670903091775632	0.333554041064642	0.470959469333372	-2.4592	-3.0671	0.6193	2.8606	-1.7729	1.3639
PERT-PSP_PD98059	0.803902937583341	0.980192687451379	0.960148290808419	1	0.870551082914117	0.103983065855942	0.5569	-0.1702	-0.2162	0.0225	-0.4015	-2.5161
