id	fdr.pvalue.JE6 0m U0126 vs JE6 0m DMSO	fdr.pvalue.TCP 0m U0126 vs TCP 0m DMSO	fdr.pvalue.N22 0m U0126 vs N22 0m DMSO	fdr.pvalue.SHP 0m U0126 vs SHP 0m DMSO	fdr.pvalue.JE6 5m U0126 vs JE6 5m DMSO	fdr.pvalue.TCP 5m U0126 vs TCP 5m DMSO	fdr.pvalue.N22 5m U0126 vs N22 5m DMSO	fdr.pvalue.SHP 5m U0126 vs SHP 5m DMSO	JE6 0m U0126 vs JE6 0m DMSO	TCP 0m U0126 vs TCP 0m DMSO	N22 0m U0126 vs N22 0m DMSO	SHP 0m U0126 vs SHP 0m DMSO	JE6 5m U0126 vs JE6 5m DMSO	TCP 5m U0126 vs TCP 5m DMSO	N22 5m U0126 vs N22 5m DMSO	SHP 5m U0126 vs SHP 5m DMSO
PERT-PSP_VIRUS_INFECTION	0.0355783960073133	0.0341259428261193	0.790964101753506	0.00623376623376623	0.00152129817444219	9e-04	0.0529952719904401	0.0580176107622668	-2.8143	-2.0431	-0.7031	-3.2251	-3.1508	-3.9942	-2.2689	-2.3248
PERT-PSP_VANADATE	9e-04	9e-04	0.0590269238002922	9e-04	9e-04	9e-04	0.0317038012116043	0.0152531600875644	-3.9851	-4.2558	-2.0682	-3.6432	-4.7938	-5.0623	-2.9091	-3.2738
PERT-PSP_UV	9e-04	9e-04	0.0151187874732446	9e-04	9e-04	9e-04	0.032535432706376	0.00152129817444219	-4.4931	-4.7626	-2.8432	-4.118	-4.8243	-5.494	-2.8795	-3.8645
PERT-PSP_U0126	0.0579559313765347	0.0313606303099524	0.79755538579068	0.032535432706376	0.00152129817444219	9e-04	0.0592596109900937	0.107041362261439	2.5436	2.0328	0.6846	2.6745	2.9953	3.4802	2.1777	2.0515
PERT-PSP_TNF	9e-04	9e-04	0.0571532898862491	9e-04	9e-04	9e-04	0.032535432706376	0.0101726525191444	-3.9803	-4.3758	-2.0839	-3.6251	-4.7772	-4.9336	-2.9553	-3.2162
PERT-PSP_THROMBIN	9e-04	9e-04	0.0528743808760372	9e-04	9e-04	9e-04	0.0321802091713596	0.0134186334068061	-3.901	-4.2894	-2.0703	-3.5896	-4.7658	-5.0921	-2.9113	-3.2214
PERT-PSP_TGF_BETA	0.722890505163189	0.0450296999867811	0.472086305881334	0.153431266962478	0.902731462786007	9e-04	0.99082169943481	0.789762658055818	0.7545	-2.4512	1.3047	2.2023	0.3504	-3.6132	0.1666	0.6124
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.0590269238002922	0.0321478802491461	0.799521776875268	0.0321478802491461	9e-04	9e-04	0.0555362721277334	0.114883624015183	-2.5305	-2.0527	-0.6787	-2.6554	-3.0043	-3.5087	-2.2126	-2.0546
PERT-PSP_SORBITOL	0.0974134247366054	0.434421762681707	0.157205195364909	0.0361981664930974	0.326094956284782	0.0151187874732446	0.106699351216433	0.167391273072552	2.0862	-1.3868	2.1723	2.8823	1.6406	-3.3013	1.9837	2.0595
PERT-PSP_PRL	0.0674105615777492	0.0317038012116043	0.79755538579068	0.0355372750642673	9e-04	9e-04	0.0571532898862491	0.109057443055449	-2.5019	-2.0464	-0.681	-2.6889	-3.0288	-3.507	-2.2138	-2.0666
