id	fdr.pvalue.JE6 5m U0126 vs JE6 0m U0126	fdr.pvalue.TCP 5m U0126 vs TCP 0m U0126	fdr.pvalue.N22 5m U0126 vs N22 0m U0126	fdr.pvalue.SHP 5m U0126 vs SHP 0m U0126	JE6 5m U0126 vs JE6 0m U0126	TCP 5m U0126 vs TCP 0m U0126	N22 5m U0126 vs N22 0m U0126	SHP 5m U0126 vs SHP 0m U0126
PERT-PSP_VIRUS_INFECTION	0.00118032786885246	0.00118032786885246	0.0418584276590107	0.853289370034435	-3.5223	2.8009	2.9677	-0.5459
PERT-PSP_VANADATE	0.78984833870067	0.00118032786885246	0.00118032786885246	0.385154169424732	0.8041	4.7221	2.5924	1.6074
PERT-PSP_UV	0.326632861465705	0.00118032786885246	0.00118032786885246	0.447279322853688	1.8154	5.2448	3.5076	1.4505
PERT-PSP_U0126	0.0218573996405033	0.00175423635898498	0.0779952336246118	0.928779344651919	2.8575	-2.6682	-2.6437	0.3052
PERT-PSP_TNF	0.78984833870067	0.00118032786885246	0.00118032786885246	0.385154169424732	0.7953	4.7389	2.5733	1.6135
PERT-PSP_THROMBIN	0.796367825438775	0.00118032786885246	0.00118032786885246	0.398098060670127	0.7932	4.8227	2.6093	1.5645
PERT-PSP_TGF_BETA	1	0.379837028199922	0.588433080832531	0.291812535290796	-0.0693	1.6353	1.2066	-1.7341
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.0205438066465257	0.00175423635898498	0.0808767951625095	0.928779344651919	-2.7884	2.6431	2.6729	-0.3021
PERT-PSP_SORBITOL	0.881534774861331	0.160256204963971	0.369359381855572	0.23529797847204	-0.4771	2.1944	1.6672	-1.8225
PERT-PSP_PRL	0.0223880597014925	0.00175423635898498	0.0828979099678457	0.936606106237524	-2.806	2.6649	2.6352	-0.2967
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.78984833870067	0.00118032786885246	0.00323101777059774	0.874198108078721	0.7955	3.6461	2.4907	-0.4895
PERT-PSP_PHORBOL_ESTER	0.78984833870067	0.00118032786885246	0.00118032786885246	0.390822502534559	0.7907	4.6801	2.6028	1.5884
PERT-PSP_PDGF	0.0196881681287524	0.00463219115508833	0.0867955582034356	0.928779344651919	-2.8072	2.6338	2.6067	-0.3045
PERT-PSP_PD98059	1	0.963124598881452	0.985366951403657	0.0712194990355693	-0.0256	-0.2196	0.174	-2.6649
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.00175423635898498	0.00118032786885246	0.0401284109149278	0.854640980735552	-3.509	2.8888	2.9918	-0.542
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.0234444048191277	0.00323101777059774	0.0844833303573706	0.931701524516971	-2.8048	2.6561	2.6138	-0.3017
PERT-PSP_OKADAIC_ACID	0.00118032786885246	0.00118032786885246	0.0411036153637294	0.853289370034435	-3.436	2.8411	3.0187	-0.5422
PERT-PSP_LPS	0.78984833870067	0.00118032786885246	0.00118032786885246	0.881534774861331	0.7995	3.6525	2.4609	-0.48
PERT-PSP_LPA	0.00118032786885246	0.00175423635898498	0.036756572789926	0.854640980735552	-3.5415	2.865	2.9949	-0.541
PERT-PSP_INSULIN	0.798050522612998	0.00118032786885246	0.00118032786885246	0.78984833870067	0.7759	4.2279	2.5291	0.719
PERT-PSP_IMATINIB	0.385154169424732	0.729036204234992	0.0832180997284374	0.64338785199717	-1.6487	-0.8998	2.4136	1.1069
PERT-PSP_IL_2	0.319091505969895	0.00118032786885246	0.00118032786885246	0.452058704597892	1.8244	5.2404	3.5133	1.4479
PERT-PSP_IL_1B	0.79751442808552	0.00118032786885246	0.00175423635898498	0.875764146324404	0.7735	3.6855	2.4747	-0.4809
PERT-PSP_IL_1A	0.78984833870067	0.00118032786885246	0.00118032786885246	0.881534774861331	0.7958	3.6384	2.4931	-0.4773
PERT-PSP_HGF	0.00118032786885246	0.00118032786885246	0.0456811384029729	0.854640980735552	-3.5258	2.8369	3.0068	-0.5435
PERT-PSP_HEREGULIN	0.0212161989607991	0.00118032786885246	0.090291419082096	0.928779344651919	-2.7945	2.6303	2.6046	-0.3101
PERT-PSP_H2O2	0.824339280754047	0.473088462390133	0.854640980735552	0.96118835714444	0.6182	1.4528	0.5646	-0.2305
PERT-PSP_GEFITINIB	0.0285318010699425	0.825385275085111	0.928779344651919	0.450385481204056	-2.2781	-0.6386	0.3237	-1.4483
PERT-PSP_FIBRONECTIN	0.0173446211026223	0.00175423635898498	0.0834543708919032	0.928779344651919	-2.8097	2.6352	2.6337	-0.3062
PERT-PSP_FGF2	0.124126423906292	0.688474362440299	0.227084026990462	0.996038775393588	-2.3922	-0.9588	1.9771	0.1274
PERT-PSP_FGF1	0.0218573996405033	0.00175423635898498	0.0808767951625095	0.928779344651919	-2.8319	2.6712	2.6481	-0.3007
PERT-PSP_ETOPOSIDE	0.436844157143061	0.628939424780102	0.937538102726514	0.451551768234783	-1.4885	-1.1071	0.279	1.453
PERT-PSP_ERLOTINIB	0.00175423635898498	0.00175423635898498	0.0518667560921082	0.854640980735552	3.4376	-2.8408	-3.0093	0.5424
PERT-PSP_EPO	0.0218573996405033	0.00323101777059774	0.0889010935822301	0.928779344651919	-2.8136	2.6291	2.5924	-0.2969
PERT-PSP_EGF	0.229188619599579	0.229188619599579	0.116441697837047	0.318877838666757	2.0555	2.0807	2.535	-1.8242
PERT-PSP_DASATINIB	0.00323101777059774	0.00118032786885246	0.0456811384029729	0.853289370034435	3.4528	-2.8561	-3.0153	0.5482
PERT-PSP_CYCLIC_STRETCH	0.0247635795933748	0.00175423635898498	0.085680285600952	0.928779344651919	-2.7727	2.6424	2.6095	-0.3
PERT-PSP_CXCL12	0.0242803274165364	0.00323101777059774	0.0844833303573706	0.928779344651919	-2.8133	2.6197	2.6032	-0.3088
PERT-PSP_CISPLATIN	0.78984833870067	0.00118032786885246	0.00175423635898498	0.882915099574573	0.8005	3.6667	2.4675	-0.4753
PERT-PSP_BACTERIAL_INFECTION	0.00118032786885246	0.00175423635898498	0.0345603016171777	0.868748594266337	-3.4896	2.8916	2.9893	-0.5228
PERT-PSP_ARSENITE	0.103720804984926	0.993093001027935	0.51125549648881	0.723154510867962	-2.4602	-0.1403	1.3399	-0.8951
PERT-PSP_ANTI_IGM	0.0193168022643585	0.00323101777059774	0.0808767951625095	0.928779344651919	-2.8253	2.6338	2.6054	-0.3001
PERT-PSP_ANTI_CD3	0.00118032786885246	0.00118032786885246	0.00118032786885246	0.881534774861331	6.6249	7.0643	7.8359	-0.4676
PERT-PSP_ANISOMYCIN	0.78984833870067	0.00118032786885246	0.00118032786885246	0.78984833870067	0.7912	4.1581	2.4847	0.7255
PERT-P100-DIA2_SOTRASTAURIN	1	0.853289370034435	0.730193501277839	0.687555409204894	0.0785	0.5634	0.8922	0.9659
PERT-P100-DIA2_RGFP966	0.140905187612086	0.200439397712223	0.682564912540412	0.00717989629038692	-2.4432	2.1866	-0.9704	3.0244
PERT-P100-DIA2_RESVERATROL	0.385154169424732	0.364159298595343	0.78984833870067	0.216743644391179	-1.6234	-1.6389	-0.7338	1.9518
PERT-P100-DIA2_PAZOPANIB	0.39277905858933	0.369359381855572	1	0.351743677638252	-1.5878	-1.6318	0.0474	1.6582
PERT-P100-DIA2_LOSMAPIMOD	0.390822502534559	0.349321780205817	0.78984833870067	0.215951306125391	-1.6097	-1.6513	-0.7418	1.9577
PERT-P100-DIA2_LENALIDOMIDE	0.388048586581328	0.369359381855572	1	0.331006921317077	-1.6066	-1.6156	0.0469	1.6873
PERT-P100-DIA2_IPI145	0.36659516390833	0.732708746213518	0.911523869266663	0.687133876385789	-1.7016	-0.9333	0.4051	1.0161
