id	fdr.pvalue.JE6 5m DMSO vs JE6 0m DMSO	fdr.pvalue.TCP 5m DMSO vs TCP 0m DMSO	fdr.pvalue.N22 5m DMSO vs N22 0m DMSO	fdr.pvalue.SHP 5m DMSO vs SHP 0m DMSO	JE6 5m DMSO vs JE6 0m DMSO	TCP 5m DMSO vs TCP 0m DMSO	N22 5m DMSO vs N22 0m DMSO	SHP 5m DMSO vs SHP 0m DMSO
PERT-PSP_VIRUS_INFECTION	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.0476800021672728	3.3295	3.9643	3.4081	2.0007
PERT-PSP_VANADATE	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	4.9543	5.0112	4.2667	3.6629
PERT-PSP_UV	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	4.9426	5.31	4.1981	4.1132
PERT-PSP_U0126	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.0499213010417426	-3.126	-3.4973	-2.9799	-1.9927
PERT-PSP_TNF	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	4.9479	5.1203	4.2838	3.702
PERT-PSP_THROMBIN	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	4.9142	5.0623	4.3362	3.5876
PERT-PSP_TGF_BETA	0.420333172903063	0.00853983431261633	0.590010789549161	0.986136377893482	1.4207	2.9301	1.0079	0.2184
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.000441717791411043	0.000441717791411043	0.000824107903194792	0.0553150403338836	3.1422	3.4815	2.9962	1.9863
PERT-PSP_SORBITOL	0.407402519691303	0.00231640356897735	0.53905909051235	0.670789136920744	1.4588	3.5178	-1.2353	-0.9047
PERT-PSP_PRL	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.0491213551086877	3.1678	3.4364	2.9731	1.9908
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.00364506392530859	3.9532	4.0463	3.2483	2.9446
PERT-PSP_PHORBOL_ESTER	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.000441717791411043	4.8631	5.0081	4.3214	3.71
PERT-PSP_PDGF	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.0468998530592459	3.1356	3.4719	3.0035	1.9971
PERT-PSP_PD98059	1	1	1	0.519607407736377	-0.0251	0.0062	0.1133	1.176
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.0459583292465917	3.3887	3.8953	3.3633	2.0088
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.0473284134815658	3.1463	3.5307	2.967	2.0087
PERT-PSP_OKADAIC_ACID	0.000441717791411043	0.000441717791411043	0.000441717791411043	0.0451883895592505	3.3841	3.9494	3.328	2.0215
