,JE6 0m DMSO R1,JE6 0m DMSO R2,JE6 0m DMSO R3,JE6 0m DMSO R4,JE6 0m DMSO R5,JE6 5m DMSO R1,JE6 5m DMSO R2,JE6 5m DMSO R3,JE6 5m DMSO R4,JE6 5m DMSO R5,JE6 0m U0126 R1,JE6 0m U0126 R2,JE6 0m U0126 R3,JE6 0m U0126 R4,JE6 0m U0126 R5,JE6 5m U0126 R1,JE6 5m U0126 R2,JE6 5m U0126 R3,JE6 5m U0126 R4,JE6 5m U0126 R5,J.TCPTP- 0m DMSO R1,J.TCPTP- 0m DMSO R2,J.TCPTP- 0m DMSO R3,J.TCPTP- 0m DMSO R4,J.TCPTP- 0m DMSO R5,J.TCPTP- 5m DMSO R1,J.TCPTP- 5m DMSO R2,J.TCPTP- 5m DMSO R3,J.TCPTP- 5m DMSO R4,J.TCPTP- 5m DMSO R5,J.TCPTP- 0m U0126 R1,J.TCPTP- 0m U0126 R2,J.TCPTP- 0m U0126 R3,J.TCPTP- 0m U0126 R4,J.TCPTP- 0m U0126 R5,J.TCPTP- 5m U0126 R1,J.TCPTP- 5m U0126 R2,J.TCPTP- 5m U0126 R3,J.TCPTP- 5m U0126 R4,J.PTPN22- 0m DMSO R1,J.PTPN22- 0m DMSO R2,J.PTPN22- 0m DMSO R3,J.PTPN22- 0m DMSO R4,J.PTPN22- 0m DMSO R5,J.PTPN22- 5m DMSO R1,J.PTPN22- 5m DMSO R2,J.PTPN22- 5m DMSO R3,J.PTPN22- 5m DMSO R4,J.PTPN22- 5m DMSO R5,J.PTPN22- 0m U0126 R1,J.PTPN22- 0m U0126 R2,J.PTPN22- 0m U0126 R3,J.PTPN22- 0m U0126 R4,J.PTPN22- 0m U0126 R5,J.PTPN22- 5m U0126 R1,J.PTPN22- 5m U0126 R2,J.PTPN22- 5m U0126 R3,J.PTPN22- 5m U0126 R4,J.PTPN22- 5m U0126 R5,J.SHP1- 0m DMSO R1,J.SHP1- 0m DMSO R2,J.SHP1- 0m DMSO R3,J.SHP1- 0m DMSO R4,J.SHP1- 0m DMSO R5,J.SHP1- 5m DMSO R1,J.SHP1- 5m DMSO R2,J.SHP1- 5m DMSO R3,J.SHP1- 5m DMSO R4,J.SHP1- 5m DMSO R5,J.SHP1- 0m U0126 R1,J.SHP1- 0m U0126 R2,J.SHP1- 0m U0126 R3,J.SHP1- 0m U0126 R4,J.SHP1- 0m U0126 R5,J.SHP1- 5m U0126 R1,J.SHP1- 5m U0126 R2,J.SHP1- 5m U0126 R3,J.SHP1- 5m U0126 R4,J.SHP1- 5m U0126 R5
0,144498.18,54168.0,124867.0,151229.0,156258.0,121209.14,102913.61,87743.0,117979.36,193143.65,19894.0,86647.32,119759.1,112597.31,131618.39,91462.22,123300.36,108387.4,118250.62,22019.0,62834.15,57873.65,54421.43,54366.0,94654.85,47249.06,87103.12,35498.0,69041.0,74669.26,51851.46,15694.0,30740.0,59988.18,55154.0,43168.0,68341.63,55423.03,32561.0,165406.36,113792.66,121444.7,114407.0,73694.0,146909.43,32388.0,91642.0,288863.0,374475.0,51250.0,106691.31,89003.0,86659.46,127165.18,81392.0,79233.0,39862.0,125107.05,226468.0,270965.0,298320.51,251395.33,277175.52,353159.81,594735.0,197463.0,426752.35,418452.0,326044.0,320436.0,466888.11,837786.0,399255.0,363083.0,172345.0,577904.0,778578.0,131389.0,974668.0
1,1253620.0,1594833.0,1551793.0,1678921.0,1586944.0,1065728.0,597296.0,1257845.0,618204.0,896111.0,503471.0,557883.0,292462.0,375377.0,375223.0,352677.0,354082.0,251357.0,468069.0,617209.0,796364.0,1053756.0,732519.0,1396708.0,1563888.0,995366.0,1042034.0,1320899.0,670703.0,1116667.0,1387942.0,1674848.0,1582565.0,1992807.0,2371881.0,2480539.0,875518.0,1508321.0,930458.0,2098321.0,702986.0,1257551.0,2745158.0,2490232.0,892649.0,1719844.0,1758280.0,4622730.0,4099020.0,1836706.0,1880903.0,1524059.0,619768.0,587144.0,1580191.0,1284247.0,679625.0,1978901.0,2657244.0,1802320.0,520349.0,258084.0,404559.0,807259.0,2837918.0,2119150.0,1517001.0,2384141.0,1473334.0,398408.0,249704.0,1015478.0,143773.0,731129.0,997203.0,387220.0,380998.0,1138751.0,499442.0
2,1063467.0,821019.0,457035.0,1004488.0,903346.0,790765.0,851914.0,1044668.0,2798188.0,1987091.0,126151.0,259378.0,84408.0,366776.0,784752.0,514311.0,1008917.0,479722.0,543306.0,937329.0,385827.0,449664.0,936021.0,326201.0,1156505.0,1297069.0,1298870.0,688402.0,1069859.0,988123.0,1446119.0,390270.0,1133406.0,438384.0,545770.0,1342862.0,1466828.0,1352454.0,709327.0,5672751.0,3111913.0,4383593.0,3684027.0,3419607.0,4658649.0,5508182.0,4230735.0,4224458.0,6888355.0,665985.0,1263409.0,1627078.0,1204660.0,2087687.0,2465019.0,1790672.0,2236009.0,2027481.0,2322428.0,181813.0,197336.11,1419774.0,67454.0,62336.0,210971.0,181846.0,179028.0,81799.0,124045.0,328360.0,259702.71,75915.0,592612.03,442388.0,165164.0,324813.4,117687.0,79851.0,86452.0
3,18497078.0,7051889.0,398979415.0,241003751.0,2893792.0,1300774.0,457140420.0,1435884.0,2929673.0,2260248.0,527903366.0,619680989.0,95497.0,226337959.0,364160981.0,548497399.0,436530582.0,746981536.0,1198813.0,289890590.0,1573274130.0,1257343536.0,1102927542.0,1355215241.0,697858626.0,575392174.0,1373995.0,1841470.0,245099101.0,1463224.0,1737211.0,1526929.0,1341302.0,1467685.0,1819346.0,2355736.0,1751975.0,2193178.0,1148122.0,9735373.0,5942824.0,5598692.0,7124211.0,6153249.0,5940577.0,6006354.0,440553709.0,6553520.0,7451950.0,592442685.0,969498279.0,2401571.0,532684788.0,1831197.0,2186770.0,2174107.0,1806818.0,2496085.0,2188975.0,737751.0,357528503.0,246571869.0,154634148.0,613175.0,1500046.0,1647261.0,720753.0,900874.0,663376.0,54577.0,155084075.0,39858857.0,208643532.0,54839.0,168047985.0,49788440.0,230280206.0,98585730.0,298302.0
4,377166.96,219509.24,224170.22,192689.23,100625.0,482435.0,418765.0,200947.0,361912.83,257817.0,191168.3,290008.09,293260.05,162282.62,239935.74,166089.76,163183.14,176189.45,176990.69,240919.34,165243.5,256108.94,272779.63,368137.4,527854.68,158242.86,134140.0,127813.0,118379.0,258723.0,295063.28,228510.45,340449.86,346290.37,529757.66,539742.31,402289.41,441345.26,250401.24,4736660.0,1130208.0,1207354.0,1107420.0,1341503.0,3724970.0,2970631.0,3786226.0,2360064.0,7376294.0,279470.0,139036.0,109033.0,119095.0,245548.0,274998.41,92522.0,130093.0,297642.0,420895.0,344639.73,339065.64,588086.28,370819.4,288981.38,202101.0,366309.0,451774.17,1019615.0,779892.0,345473.56,488498.31,331229.69,485283.46,366834.94,354605.23,65251.0,292358.25,400066.29,83070.0
5,2277282.0,7455215.0,3104463.0,4403897.0,1023874.0,8420932.0,7516309.0,2291576.0,8793682.0,5206006.0,4445302.0,3269551.0,3003408.0,2867112.0,2556334.0,2432049.0,2228765.0,3995342.0,3435516.0,2981491.0,23220094.0,32129251.0,12437457.0,16017414.0,29929526.0,12155207.0,8113960.0,6275172.0,6375417.0,7733223.0,12764077.0,10290759.0,5455315.0,8958520.0,23560538.0,10102433.0,8840893.0,12773743.0,3070836.0,39343307.0,17971598.0,20681735.0,19479454.0,25607775.0,25499710.0,26303533.0,21385356.0,23579353.0,42879545.0,27742557.0,23580656.0,6499147.0,12925052.0,7106536.0,11248472.0,10349805.0,9199380.0,8774268.0,8249367.0,230387.0,2348584.0,291325.0,750363.0,3329291.0,431647.0,724356.0,4349112.0,1598049.0,753036.0,5010223.0,1382588.0,628146.0,118102.0,2867720.0,193793.0,1099204.0,2943499.0,643191.0,737222.0
6,1006280.92,903006.0,719482.0,687218.0,721177.0,775044.0,298224.0,825343.0,1127406.0,1073000.0,816575.0,470636.0,320810.0,318909.0,226965.0,709865.0,462665.0,468989.0,416490.0,742800.0,703658.0,206382.0,514001.0,310555.0,470711.0,461023.0,592359.0,571403.0,296964.0,526372.0,229320.0,182660.0,182232.0,155026.0,144170.0,711954.0,408833.0,348452.0,268359.0,4417609.0,2083103.0,1580785.0,1911598.0,2205132.0,2901714.0,1466302.0,1958490.0,2711237.0,2642210.0,806519.0,1262731.0,799839.0,861482.0,939731.0,789163.0,1022435.0,920267.0,724387.0,921814.0,925843.11,937314.77,1169373.52,949426.32,968952.28,100922.0,1249238.82,1033705.83,1230099.25,1023536.67,1031615.28,1013602.55,945995.57,1085841.65,918497.37,940338.42,932348.76,916171.09,926358.01,938894.42
7,1031046.31,903006.0,728889.0,687218.0,721177.0,775044.0,298224.0,827761.0,1127406.0,1063501.0,816575.0,470636.0,320810.0,318909.0,226965.0,709865.0,462665.0,468989.0,416490.0,733075.0,703658.0,206382.0,514001.0,310555.0,470711.0,461023.0,593435.0,571403.0,292732.0,529926.0,229320.0,182660.0,182232.0,155026.0,144170.0,711954.0,408833.0,348452.0,268359.0,4407175.0,2083103.0,1590535.0,1911598.0,2205132.0,2907950.0,1466302.0,1958490.0,2711237.0,2642210.0,806519.0,1251016.0,799839.0,861482.0,928369.0,789163.0,1022435.0,917935.0,724387.0,921814.0,921216.35,930980.58,1140013.43,942940.33,957816.48,100922.0,1265073.36,1051661.7,1241548.12,1025742.88,1035690.17,1017846.19,936785.36,1071910.02,910139.46,927728.48,926996.91,907616.16,913443.96,932649.6
8,1029735.03,903006.0,728889.0,687218.0,721177.0,775044.0,298224.0,825343.0,1124960.0,1073000.0,816575.0,470636.0,320810.0,318909.0,226965.0,709865.0,462665.0,468989.0,416490.0,742800.0,703658.0,206382.0,514001.0,310555.0,470711.0,461023.0,592359.0,558175.0,292732.0,526372.0,229320.0,182660.0,182232.0,155026.0,144170.0,711954.0,403614.0,348452.0,268359.0,4407175.0,2083103.0,1580785.0,1911598.0,2205132.0,2901714.0,1466302.0,1958490.0,2711237.0,2642210.0,798084.0,1251016.0,799839.0,861482.0,928369.0,789163.0,1022435.0,917935.0,724387.0,921814.0,922742.41,931625.52,1143554.39,942741.35,962482.1,100922.0,1256508.44,1047223.83,1231135.52,1029123.48,1038267.32,1020945.15,938376.46,1073229.98,912650.66,926994.3,932296.24,908859.79,923442.13,933911.91
9,192791.0,374257.0,563479.0,359081.0,471042.0,656188.0,202647.0,405732.0,654733.0,828329.0,363075.0,111550.0,266465.0,86002.0,98093.0,507791.0,498467.0,457079.0,358629.0,190009.0,216361.0,486072.33,895591.0,395109.59,247527.0,230701.0,566543.0,292924.0,61087.0,306546.0,51986.0,68570.0,439595.0,96842.0,174956.0,619891.0,172304.0,305428.0,119840.0,3836412.0,1722871.0,2546894.0,1973454.0,1999598.0,3125024.0,3050824.0,3560128.0,2600550.0,3289073.0,238741.0,216303.0,199646.0,276027.0,392428.0,484027.0,570169.0,577318.0,486448.0,738049.0,293197.0,182161.0,800115.72,594405.14,1054082.06,3636816.0,2885824.83,52691.0,6001756.0,5012453.0,1061385.5,1131804.19,1545195.22,873721.97,1076478.31,154291.0,63355.0,444032.67,56194.0,5533044.0
