,JE6 R1,JE6 R2,JE6 R3,JE6 R4,JE6 R5,J.TCPTP- R1,J.TCPTP- R2,J.TCPTP- R3,J.TCPTP- R4,J.TCPTP- R5,J.PTPN22- R1,J.PTPN22- R2,J.PTPN22- R3,J.PTPN22- R4,J.PTPN22- R5,J.SHP1- R1,J.SHP1- R2,J.SHP1- R3,J.SHP1- R4,J.SHP1- R5
0,37242000.0,50357000.0,59380000.0,44618000.0,50854000.0,40659000.0,46617000.0,60646000.0,45432000.0,26775000.0,56055000.0,47790000.0,40854000.0,15315000.0,55627000.0,38480000.0,44321000.0,44002000.0,49211000.0,45684000.0
1,215510000.0,275390000.0,298400000.0,249780000.0,286020000.0,253310000.0,315880000.0,360550000.0,307560000.0,177070000.0,486420000.0,443900000.0,350350000.0,104070000.0,365910000.0,86233000.0,113360000.0,128240000.0,116710000.0,103010000.0
2,20865000.0,25870000.0,31512000.0,24675000.0,28969000.0,16919000.0,29911000.0,27464000.0,28123000.0,11501000.0,28979000.0,19987000.0,26188000.0,6308500.0,31327000.0,26194000.0,34856000.0,46568000.0,31252000.0,31183000.0
3,176710000.0,203980000.0,233670000.0,208730000.0,217000000.0,183170000.0,211170000.0,270880000.0,209830000.0,132540000.0,219360000.0,228930000.0,203210000.0,66346000.0,241750000.0,193710000.0,206790000.0,205900000.0,217900000.0,242040000.0
4,11019691.0,9601800.0,9499700.0,11330045.0,6251500.0,19650000.0,10868000.0,14981000.0,12327839.0,7150800.0,12781970.0,14862000.0,12899000.0,8940500.0,8311300.0,12111137.0,12178000.0,13298000.0,12423589.0,9228000.0
5,53123000.0,60602000.0,71418000.0,60078000.0,62474000.0,47023000.0,56897000.0,69055000.0,49084000.0,33729000.0,63126000.0,65951000.0,47977000.0,20143000.0,62830000.0,58736000.0,62093000.0,53413000.0,62568000.0,62931000.0
6,32876000.0,55836000.0,48688000.0,42179000.0,39369000.0,71297000.0,42167000.0,36327000.0,47469000.0,23490000.0,46496000.0,51496000.0,38492000.0,11726000.0,40335000.0,82862000.0,50662000.0,46517000.0,44337000.0,27991000.0
7,21247000.0,27486000.0,30261000.0,30241000.0,28175000.0,11796000.0,14064000.0,11838000.0,15179000.0,7785100.0,21805000.0,18283000.0,20865000.0,3133900.0,20047000.0,9966400.0,10252000.0,10265000.0,9062100.0,13343000.0
8,18397000.0,16809000.0,12572000.0,16019000.0,19364000.0,11552000.0,16422000.0,21431000.0,19027000.0,10025000.0,19208000.0,24101000.0,17221000.0,8008100.0,18081000.0,18604000.0,21094000.0,18013000.0,21302000.0,20676000.0
9,4524182.0,4568459.0,4701290.0,4568459.0,4701290.0,4789844.0,4568459.0,4834121.0,6029600.0,3195872.0,4701290.0,4612736.0,4701290.0,1601900.0,4701290.0,4657013.0,4657013.0,4568459.0,4701290.0,4612736.0
10,64616000.0,74367000.0,78445000.0,65645000.0,71051000.0,52472000.0,56148000.0,69052000.0,57152000.0,34667000.0,61490000.0,61792000.0,59185000.0,21802000.0,77861000.0,74638000.0,73818000.0,70280000.0,66956000.0,74190000.0
11,208280000.0,249120000.0,289940000.0,234210000.0,293300000.0,192550000.0,207540000.0,273220000.0,217990000.0,123330000.0,295650000.0,251800000.0,219310000.0,68473000.0,273960000.0,200700000.0,220700000.0,224740000.0,276520000.0,233450000.0
12,26332000.0,24028000.0,35967000.0,26328000.0,29618000.0,20717000.0,25447000.0,24482000.0,21790000.0,14101000.0,34511000.0,28089000.0,27251000.0,6896800.0,35697000.0,30028000.0,31935000.0,32918000.0,35586000.0,34431000.0
13,8281000.0,11450000.0,14766000.0,15828000.0,17231000.0,14857000.0,15783000.0,18747000.0,19472000.0,8716700.0,18818000.0,25631000.0,14662000.0,4512500.0,20805000.0,9174500.0,15689000.0,12548000.0,9480500.0,14447000.0
14,26524000.0,36511000.0,41384000.0,29040000.0,38594000.0,19325000.0,19891000.0,26013000.0,22593000.0,11875000.0,23107000.0,19418000.0,17085000.0,5123000.0,24363000.0,23065000.0,27435000.0,24592000.0,26390000.0,23838000.0
15,9608042.0,9338492.0,8745900.0,9407423.0,8677300.0,9653996.0,9612844.0,9552145.0,9589181.0,9721555.0,9485272.0,9591925.0,9587809.0,9722241.0,9505505.0,9770939.0,9980476.0,9819637.0,9733903.0,10975000.0
16,52560000.0,49479000.0,65727000.0,53916000.0,54121000.0,28370000.0,32626000.0,40791000.0,33566000.0,20340000.0,69882000.0,66245000.0,58400000.0,17558000.0,64092000.0,35764000.0,37435000.0,38886000.0,37893000.0,38442000.0
17,15866000.0,9967500.0,17451160.0,16828610.0,17054890.0,17747095.0,26137000.0,15022000.0,19119185.0,17746530.0,17866945.0,17996500.0,17411575.0,13565000.0,17586590.0,17487665.0,17189645.0,17194265.0,17865675.0,17215560.0
