,JE6 R1,JE6 R2,JE6 R3,JE6 R4,JE6 R5,J.TCPTP- R1,J.TCPTP- R2,J.TCPTP- R3,J.TCPTP- R4,J.PTPN22- R1,J.PTPN22- R2,J.PTPN22- R3,J.PTPN22- R5,J.SHP1- R1,J.SHP1- R2,J.SHP1- R3,J.SHP1- R4,J.SHP1- R5
0,37242000.0,50357000.0,59380000.0,44618000.0,50854000.0,40659000.0,46617000.0,60646000.0,45432000.0,56055000.0,47790000.0,40854000.0,55627000.0,38480000.0,44321000.0,44002000.0,49211000.0,45684000.0
1,215510000.0,275390000.0,298400000.0,249780000.0,286020000.0,253310000.0,315880000.0,360550000.0,307560000.0,486420000.0,443900000.0,350350000.0,365910000.0,86233000.0,113360000.0,128240000.0,116710000.0,103010000.0
2,20865000.0,25870000.0,31512000.0,24675000.0,28969000.0,16919000.0,29911000.0,27464000.0,28123000.0,28979000.0,19987000.0,26188000.0,31327000.0,26194000.0,34856000.0,46568000.0,31252000.0,31183000.0
3,176710000.0,203980000.0,233670000.0,208730000.0,217000000.0,183170000.0,211170000.0,270880000.0,209830000.0,219360000.0,228930000.0,203210000.0,241750000.0,193710000.0,206790000.0,205900000.0,217900000.0,242040000.0
4,12804007.0,9601800.0,9499700.0,11299183.0,6251500.0,19650000.0,10868000.0,14981000.0,12722758.0,11344258.0,14862000.0,12899000.0,8311300.0,13012634.0,12178000.0,13298000.0,12443327.0,9228000.0
5,53123000.0,60602000.0,71418000.0,60078000.0,62474000.0,47023000.0,56897000.0,69055000.0,49084000.0,63126000.0,65951000.0,47977000.0,62830000.0,58736000.0,62093000.0,53413000.0,62568000.0,62931000.0
6,32876000.0,55836000.0,48688000.0,42179000.0,39369000.0,71297000.0,42167000.0,36327000.0,47469000.0,46496000.0,51496000.0,38492000.0,40335000.0,82862000.0,50662000.0,46517000.0,44337000.0,27991000.0
7,21247000.0,27486000.0,30261000.0,30241000.0,28175000.0,11796000.0,14064000.0,11838000.0,15179000.0,21805000.0,18283000.0,20865000.0,20047000.0,9966400.0,10252000.0,10265000.0,9062100.0,13343000.0
8,18397000.0,16809000.0,12572000.0,16019000.0,19364000.0,11552000.0,16422000.0,21431000.0,19027000.0,19208000.0,24101000.0,17221000.0,18081000.0,18604000.0,21094000.0,18013000.0,21302000.0,20676000.0
9,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0,6029600.0
10,64616000.0,74367000.0,78445000.0,65645000.0,71051000.0,52472000.0,56148000.0,69052000.0,57152000.0,61490000.0,61792000.0,59185000.0,77861000.0,74638000.0,73818000.0,70280000.0,66956000.0,74190000.0
11,208280000.0,249120000.0,289940000.0,234210000.0,293300000.0,192550000.0,207540000.0,273220000.0,217990000.0,295650000.0,251800000.0,219310000.0,273960000.0,200700000.0,220700000.0,224740000.0,276520000.0,233450000.0
12,26332000.0,24028000.0,35967000.0,26328000.0,29618000.0,20717000.0,25447000.0,24482000.0,21790000.0,34511000.0,28089000.0,27251000.0,35697000.0,30028000.0,31935000.0,32918000.0,35586000.0,34431000.0
13,8281000.0,11450000.0,14766000.0,15828000.0,17231000.0,14857000.0,15783000.0,18747000.0,19472000.0,18818000.0,25631000.0,14662000.0,20805000.0,9174500.0,15689000.0,12548000.0,9480500.0,14447000.0
14,26524000.0,36511000.0,41384000.0,29040000.0,38594000.0,19325000.0,19891000.0,26013000.0,22593000.0,23107000.0,19418000.0,17085000.0,24363000.0,23065000.0,27435000.0,24592000.0,26390000.0,23838000.0
15,9610100.0,9337120.0,8745900.0,9385132.0,8677300.0,9633077.0,9636507.0,9504133.0,9568262.0,9506191.0,9522994.0,9610786.0,9460923.0,9748648.0,10003453.0,9795288.0,9777799.0,10975000.0
16,52560000.0,49479000.0,65727000.0,53916000.0,54121000.0,28370000.0,32626000.0,40791000.0,33566000.0,69882000.0,66245000.0,58400000.0,64092000.0,35764000.0,37435000.0,38886000.0,37893000.0,38442000.0
17,15866000.0,9967500.0,15647870.0,17054825.0,16028720.0,19977015.0,26137000.0,15022000.0,19720860.0,16283065.0,17185810.0,18881960.0,16037065.0,18168095.0,17490795.0,17991140.0,17169025.0,17507580.0
18,60693000.0,49053000.0,33438000.0,48468000.0,53218000.0,43710000.0,37899000.0,53889000.0,55478000.0,41195000.0,33883000.0,36300000.0,55166000.0,62291000.0,61987000.0,69248000.0,85556000.0,48650000.0
19,13848000.0,22195000.0,8599700.0,14937000.0,16446000.0,22710000.0,31015000.0,36070000.0,20675000.0,16322000.0,26114000.0,17752000.0,17829000.0,19819000.0,22169000.0,20729974.0,22229000.0,18343000.0
20,13289000.0,21310000.0,25472000.0,16600000.0,24038000.0,11312000.0,17658000.0,20336000.0,12949000.0,19664000.0,14976000.0,13052000.0,27200000.0,16313000.0,20280000.0,18805000.0,16988000.0,21848000.0
