id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,31,96,6.4107785869021425,1.5708566052666464,9.516831767086842e-13,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6 0.05% DMSO 0m,JE6 0.05% DMSO 2m,4,4,-1.7304838958742048,-4.0600075547573065,0.00010013474783066023,2,96,0.05
,,JE6 0.05% DMSO 0m,JE6 0.05% DMSO 5m,4,4,-2.4628934428218843,-5.778364079700152,9.327159200545054e-08,,,
,,JE6 0.05% DMSO 0m,JE6 0.05% DMSO 10m,4,4,-1.9499775198013167,-4.574976676105266,1.4234690399739236e-05,,,
,,JE6 0.05% DMSO 0m,J.PTPN22- 0.05% DMSO 0m,4,4,0.008715499785713017,0.020448034828781096,0.9837284058333009,,,
,,JE6 0.05% DMSO 0m,J.SHP1- 0.05% DMSO 0m,4,4,0.014011624258052906,0.03287363752863892,0.9738436079516821,,,
,,JE6 0.05% DMSO 0m,J.TCPTP- 0.05% DMSO 0m,4,4,0.01956117695293811,0.04589382565086088,0.9634902089037463,,,
,,JE6 0.05% DMSO 0m,JE6 20 $\mu$M 0m,4,4,0.04000598789093699,0.09386080590520604,0.9254153485092151,,,
,,JE6 0.05% DMSO 0m,J.PTPN22- 20 $\mu$M 0m,4,4,0.012018886313402123,0.028198337672209712,0.9775625001658248,,,
,,JE6 0.05% DMSO 0m,J.SHP1- 20 $\mu$M 0m,4,4,0.0036904327720841193,0.008658378717483688,0.993109667149455,,,
,,JE6 0.05% DMSO 0m,J.TCPTP- 20 $\mu$M 0m,4,4,0.0052403871075761485,0.012294833426267601,0.9902159041075647,,,
,,JE6 0.05% DMSO 2m,JE6 0.05% DMSO 5m,4,4,-0.7324095469476797,-1.7183565249428459,0.08895518434021388,,,
,,JE6 0.05% DMSO 2m,JE6 0.05% DMSO 10m,4,4,-0.2194936239271119,-0.5149691213479598,0.6077583068475603,,,
,,JE6 0.05% DMSO 2m,J.PTPN22- 0.05% DMSO 2m,4,4,1.081920436557045,2.5383681157280416,0.012745652155421672,,,
,,JE6 0.05% DMSO 2m,J.SHP1- 0.05% DMSO 2m,4,4,-0.45687254550006173,-1.0719001723817787,0.28645217374811227,,,
,,JE6 0.05% DMSO 2m,J.TCPTP- 0.05% DMSO 2m,4,4,0.026282686019417856,0.06166362140240786,0.9509589100651608,,,
,,JE6 0.05% DMSO 2m,JE6 20 $\mu$M 2m,4,4,1.2484549182377225,2.9290861428435586,0.004246704552012259,,,
,,JE6 0.05% DMSO 2m,J.PTPN22- 20 $\mu$M 2m,4,4,1.1552336366149851,2.710373268048921,0.007961690760054596,,,
,,JE6 0.05% DMSO 2m,J.SHP1- 20 $\mu$M 2m,4,4,1.1741438775091146,2.754739887741536,0.00702765668160743,,,
,,JE6 0.05% DMSO 2m,J.TCPTP- 20 $\mu$M 2m,4,4,1.2440075725447326,2.9186519185464093,0.004379267048692181,,,
,,JE6 0.05% DMSO 5m,JE6 0.05% DMSO 10m,4,4,0.5129159230205678,1.203387403594886,0.23178561509548112,,,
,,JE6 0.05% DMSO 5m,J.PTPN22- 0.05% DMSO 5m,4,4,1.2203593486644846,2.863169190368869,0.005150365788239464,,,
