id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,31,96,7.310858107742493,1.5708566052666464,2.19824158875781e-14,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6 0.05% DMSO 0m,JE6 0.05% DMSO 2m,4,4,-1.4305053249144797,-4.635696348128135,1.1210579154097289e-05,2,96,0.05
,,JE6 0.05% DMSO 0m,JE6 0.05% DMSO 5m,4,4,-1.5860159410233903,-5.139644136812061,1.4474432723510233e-06,,,
,,JE6 0.05% DMSO 0m,JE6 0.05% DMSO 10m,4,4,-1.330820562781072,-4.312657852753442,3.911756352548146e-05,,,
,,JE6 0.05% DMSO 0m,J.PTPN22- 0.05% DMSO 0m,4,4,-0.0012158143985834327,-0.0039399688133644455,0.9968645436756676,,,
,,JE6 0.05% DMSO 0m,J.SHP1- 0.05% DMSO 0m,4,4,-0.004539068975940558,-0.01470930943715802,0.9882946186506139,,,
,,JE6 0.05% DMSO 0m,J.TCPTP- 0.05% DMSO 0m,4,4,-0.008872806932602357,-0.028753223059529487,0.9771210979819906,,,
,,JE6 0.05% DMSO 0m,JE6 20 $\mu$M 0m,4,4,0.0024514173309458376,0.007944064360251869,0.993678105482348,,,
,,JE6 0.05% DMSO 0m,J.PTPN22- 20 $\mu$M 0m,4,4,-0.008179523231988468,-0.02650656751538134,0.9789083179479092,,,
,,JE6 0.05% DMSO 0m,J.SHP1- 20 $\mu$M 0m,4,4,-0.007538414862559167,-0.024428991378364535,0.980561130742784,,,
,,JE6 0.05% DMSO 0m,J.TCPTP- 20 $\mu$M 0m,4,4,-0.00903281426959214,-0.029271742924390245,0.9767086304009069,,,
,,JE6 0.05% DMSO 2m,JE6 0.05% DMSO 5m,4,4,-0.1555106161089106,-0.503947788683926,0.6154526444700656,,,
