id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,23,72,21.878624858453744,1.680280894483482,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6 0.125% DMSO 0m,J.PTPN22- 0.125% DMSO 0m,4,4,0.012854216586294187,0.029430614235519046,0.9766025834188496,2,72,0.05
,,JE6 0.125% DMSO 0m,J.SHP1- 0.125% DMSO 0m,4,4,0.02481231229630581,0.05680949800257935,0.9548543090861956,,,
,,JE6 0.125% DMSO 0m,J.TCPTP- 0.125% DMSO 0m,4,4,0.0011676997761946774,0.0026735290653753544,0.9978742287538245,,,
,,JE6 0.125% DMSO 5m,J.PTPN22- 0.125% DMSO 5m,4,4,0.5129061913316799,1.1743340525463992,0.2441307933257093,,,
,,JE6 0.125% DMSO 5m,J.SHP1- 0.125% DMSO 5m,4,4,-0.1375139332632731,-0.31484762176759523,0.7537879861830126,,,
,,JE6 0.125% DMSO 5m,J.TCPTP- 0.125% DMSO 5m,4,4,1.256996534388824,2.8779801437628563,0.00526456173555756,,,
,,JE6 20 $\mu$M 5m,J.PTPN22- 20 $\mu$M 5m,4,4,0.37058304121921626,0.8484753975576584,0.39898534539516417,,,
,,JE6 20 $\mu$M 5m,J.SHP1- 20 $\mu$M 5m,4,4,0.4842378334960096,1.1086958726881995,0.27125110109072104,,,
,,JE6 20 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,4,4,0.9970211422661795,2.282748577146227,0.025400218847712708,,,
,,JE6 50 $\mu$M 5m,J.PTPN22- 50 $\mu$M 5m,4,4,0.6811436106281099,1.559525211731616,0.12325712855570936,,,
,,JE6 50 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,4,0.3417971544475139,0.7825681271053607,0.4364470606237427,,,
,,JE6 50 $\mu$M 5m,J.TCPTP- 50 $\mu$M 5m,4,4,2.072809787651838,4.745840777961918,1.0250166113223713e-05,,,
,,J.PTPN22- 0.125% DMSO 0m,J.SHP1- 0.125% DMSO 0m,4,4,0.01195809571001162,0.027378883767060307,0.9782332859317966,,,
,,J.PTPN22- 0.125% DMSO 0m,J.TCPTP- 0.125% DMSO 0m,4,4,-0.01168651681009951,-0.02675708517014369,0.9787275062161438,,,
,,J.PTPN22- 0.125% DMSO 5m,J.SHP1- 0.125% DMSO 5m,4,4,-0.650420124594953,-1.4891816743139945,0.14080697756345417,,,
,,J.PTPN22- 0.125% DMSO 5m,J.TCPTP- 0.125% DMSO 5m,4,4,0.7440903430571442,1.7036460912164568,0.09276006163315142,,,
,,J.PTPN22- 20 $\mu$M 5m,J.SHP1- 20 $\mu$M 5m,4,4,0.11365479227679331,0.260220475130541,0.7954364463154562,,,
,,J.PTPN22- 20 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,4,4,0.6264381010469633,1.4342731795885684,0.15582344754614996,,,
,,J.PTPN22- 50 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,4,-0.339346456180596,-0.7769570846262555,0.43972931177277985,,,
,,J.PTPN22- 50 $\mu$M 5m,J.TCPTP- 50 $\mu$M 5m,4,4,1.391666177023728,3.1863155662303018,0.002131506896202451,,,
,,J.SHP1- 0.125% DMSO 0m,J.TCPTP- 0.125% DMSO 0m,4,4,-0.02364461252011113,-0.054135968937203995,0.9569767687489037,,,
,,J.SHP1- 0.125% DMSO 5m,J.TCPTP- 0.125% DMSO 5m,4,4,1.3945104676520972,3.1928277655304513,0.0020899046277491617,,,
,,J.SHP1- 20 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,4,4,0.51278330877017,1.1740527044580273,0.24424273717668088,,,
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 50 $\mu$M 5m,4,4,1.7310126332043239,3.963272650856557,0.00017225117193286898,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6 0.125% DMSO 0m,J.PTPN22- 0.125% DMSO 0m,4,4,0.012854216586294187,0.029430614235519046,0.9999999915336187,2,72,0.05,False
,,JE6 0.125% DMSO 0m,J.SHP1- 0.125% DMSO 0m,4,4,0.02481231229630581,0.05680949800257935,0.9999999915336187,,,,False
,,JE6 0.125% DMSO 0m,J.TCPTP- 0.125% DMSO 0m,4,4,0.0011676997761946774,0.0026735290653753544,0.9999999915336187,,,,False
,,JE6 0.125% DMSO 5m,J.PTPN22- 0.125% DMSO 5m,4,4,0.5129061913316799,1.1743340525463992,0.980127470884539,,,,False
,,JE6 0.125% DMSO 5m,J.SHP1- 0.125% DMSO 5m,4,4,-0.1375139332632731,-0.31484762176759523,0.9999864956426174,,,,False
,,JE6 0.125% DMSO 5m,J.TCPTP- 0.125% DMSO 5m,4,4,1.256996534388824,2.8779801437628563,0.10018794694776034,,,,False
,,JE6 20 $\mu$M 5m,J.PTPN22- 20 $\mu$M 5m,4,4,0.37058304121921626,0.8484753975576584,0.996303968385252,,,,False
,,JE6 20 $\mu$M 5m,J.SHP1- 20 $\mu$M 5m,4,4,0.4842378334960096,1.1086958726881995,0.980127470884539,,,,False
,,JE6 20 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,4,4,0.9970211422661795,2.282748577146227,0.3866619883323914,,,,False
,,JE6 50 $\mu$M 5m,J.PTPN22- 50 $\mu$M 5m,4,4,0.6811436106281099,1.559525211731616,0.8931368089708682,,,,False
,,JE6 50 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,4,0.3417971544475139,0.7825681271053607,0.9967689238532238,,,,False
,,JE6 50 $\mu$M 5m,J.TCPTP- 50 $\mu$M 5m,4,4,2.072809787651838,4.745840777961918,0.0002459749907071096,,,,True
,,J.PTPN22- 0.125% DMSO 0m,J.SHP1- 0.125% DMSO 0m,4,4,0.01195809571001162,0.027378883767060307,0.9999999915336187,,,,False
,,J.PTPN22- 0.125% DMSO 0m,J.TCPTP- 0.125% DMSO 0m,4,4,-0.01168651681009951,-0.02675708517014369,0.9999999915336187,,,,False
,,J.PTPN22- 0.125% DMSO 5m,J.SHP1- 0.125% DMSO 5m,4,4,-0.650420124594953,-1.4891816743139945,0.9118033960053714,,,,False
,,J.PTPN22- 0.125% DMSO 5m,J.TCPTP- 0.125% DMSO 5m,4,4,0.7440903430571442,1.7036460912164568,0.8266200444100167,,,,False
,,J.PTPN22- 20 $\mu$M 5m,J.SHP1- 20 $\mu$M 5m,4,4,0.11365479227679331,0.260220475130541,0.9999864956426174,,,,False
,,J.PTPN22- 20 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,4,4,0.6264381010469633,1.4342731795885684,0.9212048879100797,,,,False
,,J.PTPN22- 50 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,4,-0.339346456180596,-0.7769570846262555,0.9967689238532238,,,,False
,,J.PTPN22- 50 $\mu$M 5m,J.TCPTP- 50 $\mu$M 5m,4,4,1.391666177023728,3.1863155662303018,0.04498288153680796,,,,True
,,J.SHP1- 0.125% DMSO 0m,J.TCPTP- 0.125% DMSO 0m,4,4,-0.02364461252011113,-0.054135968937203995,0.9999999915336187,,,,False
,,J.SHP1- 0.125% DMSO 5m,J.TCPTP- 0.125% DMSO 5m,4,4,1.3945104676520972,3.1928277655304513,0.04498288153680796,,,,True
,,J.SHP1- 20 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,4,4,0.51278330877017,1.1740527044580273,0.980127470884539,,,,False
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 50 $\mu$M 5m,4,4,1.7310126332043239,3.963272650856557,0.003954279369887237,,,,True


