id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,23,70,54.75689801955815,1.6846279388878087,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,JE6 0.125% DMSO 0m,J.PTPN22- 0.125% DMSO 0m,4,4,-0.01869771159605331,-0.02742351987363568,0.9781999720985908,2,70,0.05
,,JE6 0.125% DMSO 0m,J.SHP1- 0.125% DMSO 0m,4,4,-0.016673448130003862,-0.02445457743886205,0.9805595943738383,,,
,,JE6 0.125% DMSO 0m,J.SHP1- 50 $\mu$M 5m,4,2,1.027460435580796,1.2304223691382656,0.22265778637051303,,,
,,JE6 0.125% DMSO 0m,J.TCPTP- 0.125% DMSO 0m,4,4,-0.02809428322003684,-0.04120526355657631,0.9672495612748677,,,
,,JE6 0.125% DMSO 5m,J.PTPN22- 0.125% DMSO 5m,4,4,0.0695823348614768,0.10205487089288835,0.9190049037603254,,,
,,JE6 0.125% DMSO 5m,J.SHP1- 0.125% DMSO 5m,4,4,0.6305593980869579,0.9248275167852867,0.3582329315136812,,,
,,JE6 0.125% DMSO 5m,J.SHP1- 50 $\mu$M 5m,4,2,7.807514086577161,9.349790655497438,6.061817714453355e-14,,,
,,JE6 0.125% DMSO 5m,J.TCPTP- 0.125% DMSO 5m,4,4,-0.0040460596601255006,-0.005934266176337215,0.9952820482027818,,,
,,JE6 0.2 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,7.12971214378055,8.538097432691348,1.865396725975188e-12,,,
,,JE6 2 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,6.138094786140954,7.350598492378532,2.85508727770889e-10,,,
,,JE6 20 $\mu$M 5m,J.PTPN22- 20 $\mu$M 5m,4,4,1.8697855054624326,2.742373028114748,0.007738583871012006,,,
,,JE6 20 $\mu$M 5m,J.SHP1- 20 $\mu$M 5m,4,4,2.028137656087478,2.9746246235782015,0.004022776020148111,,,
,,JE6 20 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,1.04223943705304,1.248120777150149,0.21614561077207917,,,
,,JE6 20 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,4,4,0.9409497776386541,1.3800702184653129,0.1719569210925933,,,
,,JE6 50 $\mu$M 5m,J.PTPN22- 50 $\mu$M 5m,4,4,-0.4942496429610266,-0.7249050150682625,0.4709265784208656,,,
,,JE6 50 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,-1.4978864707582107,-1.7937751724801507,0.07716784946588073,,,
,,JE6 50 $\mu$M 5m,J.TCPTP- 50 $\mu$M 5m,4,4,-0.3420999473114974,-0.5017504230756679,0.6174176083483123,,,
,,J.PTPN22- 0.125% DMSO 0m,J.SHP1- 0.125% DMSO 0m,4,4,0.0020242634660494474,0.002968942434773631,0.9976395750722142,,,
,,J.PTPN22- 0.125% DMSO 0m,J.SHP1- 50 $\mu$M 5m,4,2,1.046158147176849,1.2528135793520925,0.21444260975499585,,,
,,J.PTPN22- 0.125% DMSO 0m,J.TCPTP- 0.125% DMSO 0m,4,4,-0.00939657162398353,-0.013781743682940627,0.9890433122071118,,,
,,J.PTPN22- 0.125% DMSO 5m,J.SHP1- 0.125% DMSO 5m,4,4,0.5609770632254811,0.8227726458923984,0.41343138483202724,,,
,,J.PTPN22- 0.125% DMSO 5m,J.SHP1- 50 $\mu$M 5m,4,2,7.737931751715684,9.266463202346374,8.593126210598712e-14,,,
,,J.PTPN22- 0.125% DMSO 5m,J.TCPTP- 0.125% DMSO 5m,4,4,-0.0736283945216023,-0.10798913706922557,0.9143132455015173,,,
,,J.PTPN22- 0.2 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,6.77451709352418,8.112738051339031,1.1324940984991372e-11,,,
,,J.PTPN22- 2 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,5.499495933223288,6.585852438588371,7.04307079324451e-09,,,
,,J.PTPN22- 20 $\mu$M 5m,J.SHP1- 20 $\mu$M 5m,4,4,0.15835215062504537,0.23225159546345275,0.817020283156505,,,
,,J.PTPN22- 20 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,-0.8275460684093927,-0.9910174239339575,0.32509041895679847,,,
,,J.PTPN22- 20 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,4,4,-0.9288357278237787,-1.3623028096494356,0.17746981430469777,,,
,,J.PTPN22- 50 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,-1.003636827797184,-1.2018927061795528,0.23345544345719849,,,
,,J.PTPN22- 50 $\mu$M 5m,J.TCPTP- 50 $\mu$M 5m,4,4,0.15214969564952918,0.22315459199259474,0.8240651140458373,,,
,,J.SHP1- 0.125% DMSO 0m,J.SHP1- 50 $\mu$M 5m,4,2,1.0441338837107996,1.2503894480051287,0.2153210802825738,,,
,,J.SHP1- 0.125% DMSO 0m,J.TCPTP- 0.125% DMSO 0m,4,4,-0.011420835090032977,-0.01675068611771426,0.9866831636110747,,,
,,J.SHP1- 0.125% DMSO 5m,J.SHP1- 50 $\mu$M 5m,4,2,7.176954688490203,8.594672150094372,1.467936883159382e-12,,,
,,J.SHP1- 0.125% DMSO 5m,J.TCPTP- 0.125% DMSO 5m,4,4,-0.6346054577470834,-0.930761782961624,0.35517575168478643,,,
,,J.SHP1- 0.2 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,6.776790383156999,8.11546040085137,1.1195044891110228e-11,,,
,,J.SHP1- 2 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,5.706386115434273,6.83361118367678,2.50770892940011e-09,,,
,,J.SHP1- 20 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,-0.9858982190344381,-1.180650057544876,0.24173802317944126,,,
,,J.SHP1- 20 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,4,4,-1.087187878448824,-1.5945544051128884,0.11531744613948236,,,
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 0.125% DMSO 0m,2,4,-1.0555547188008327,-1.264066325948436,0.21039933189219395,,,
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 0.125% DMSO 5m,2,4,-7.811560146237286,-9.354635963540732,5.928590951498336e-14,,,
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 0.2 $\mu$M 5m,2,4,-7.348393644407911,-8.79997672338786,6.157296894571118e-13,,,
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 2 $\mu$M 5m,2,4,-5.782510174826848,-6.924772597063261,1.7122334661223704e-09,,,
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,2,4,-0.10128965941438595,-0.12129816233304139,0.9038024011726355,,,
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 50 $\mu$M 5m,2,4,1.1557865234467133,1.384097667559828,0.1707256700464781,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,JE6 0.125% DMSO 0m,J.PTPN22- 0.125% DMSO 0m,4,4,-0.01869771159605331,-0.02742351987363568,0.9999999999595871,2,70,0.05,False
,,JE6 0.125% DMSO 0m,J.SHP1- 0.125% DMSO 0m,4,4,-0.016673448130003862,-0.02445457743886205,0.9999999999595871,,,,False
,,JE6 0.125% DMSO 0m,J.SHP1- 50 $\mu$M 5m,4,2,1.027460435580796,1.2304223691382656,0.9972761218350481,,,,False
,,JE6 0.125% DMSO 0m,J.TCPTP- 0.125% DMSO 0m,4,4,-0.02809428322003684,-0.04120526355657631,0.9999999999595871,,,,False
,,JE6 0.125% DMSO 5m,J.PTPN22- 0.125% DMSO 5m,4,4,0.0695823348614768,0.10205487089288835,0.9999999999321355,,,,False
,,JE6 0.125% DMSO 5m,J.SHP1- 0.125% DMSO 5m,4,4,0.6305593980869579,0.9248275167852867,0.9994238930303607,,,,False
,,JE6 0.125% DMSO 5m,J.SHP1- 50 $\mu$M 5m,4,2,7.807514086577161,9.349790655497438,2.608580018659268e-12,,,,True
,,JE6 0.125% DMSO 5m,J.TCPTP- 0.125% DMSO 5m,4,4,-0.0040460596601255006,-0.005934266176337215,0.9999999999595871,,,,False
,,JE6 0.2 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,7.12971214378055,8.538097432691348,7.275047231303233e-11,,,,True
,,JE6 2 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,6.138094786140954,7.350598492378532,1.0278314199752003e-08,,,,True
,,JE6 20 $\mu$M 5m,J.PTPN22- 20 $\mu$M 5m,4,4,1.8697855054624326,2.742373028114748,0.21402409700795222,,,,False
,,JE6 20 $\mu$M 5m,J.SHP1- 20 $\mu$M 5m,4,4,2.028137656087478,2.9746246235782015,0.12101588468267555,,,,False
,,JE6 20 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,1.04223943705304,1.248120777150149,0.9972761218350481,,,,False
,,JE6 20 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,4,4,0.9409497776386541,1.3800702184653129,0.9947088482386315,,,,False
,,JE6 50 $\mu$M 5m,J.PTPN22- 50 $\mu$M 5m,4,4,-0.4942496429610266,-0.7249050150682625,0.9998653447689728,,,,False
,,JE6 50 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,-1.4978864707582107,-1.7937751724801507,0.9101161855105169,,,,False
,,JE6 50 $\mu$M 5m,J.TCPTP- 50 $\mu$M 5m,4,4,-0.3420999473114974,-0.5017504230756679,0.9999962379487222,,,,False
,,J.PTPN22- 0.125% DMSO 0m,J.SHP1- 0.125% DMSO 0m,4,4,0.0020242634660494474,0.002968942434773631,0.9999999999595871,,,,False
,,J.PTPN22- 0.125% DMSO 0m,J.SHP1- 50 $\mu$M 5m,4,2,1.046158147176849,1.2528135793520925,0.9972761218350481,,,,False
,,J.PTPN22- 0.125% DMSO 0m,J.TCPTP- 0.125% DMSO 0m,4,4,-0.00939657162398353,-0.013781743682940627,0.9999999999595871,,,,False
,,J.PTPN22- 0.125% DMSO 5m,J.SHP1- 0.125% DMSO 5m,4,4,0.5609770632254811,0.8227726458923984,0.9996652024048573,,,,False
,,J.PTPN22- 0.125% DMSO 5m,J.SHP1- 50 $\mu$M 5m,4,2,7.737931751715684,9.266463202346374,3.609113008451459e-12,,,,True
,,J.PTPN22- 0.125% DMSO 5m,J.TCPTP- 0.125% DMSO 5m,4,4,-0.0736283945216023,-0.10798913706922557,0.9999999999321355,,,,False
,,J.PTPN22- 0.2 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,6.77451709352418,8.112738051339031,4.254117058621887e-10,,,,True
,,J.PTPN22- 2 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,5.499495933223288,6.585852438588371,2.3242130997580546e-07,,,,True
,,J.PTPN22- 20 $\mu$M 5m,J.SHP1- 20 $\mu$M 5m,4,4,0.15835215062504537,0.23225159546345275,0.9999999985912452,,,,False
,,J.PTPN22- 20 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,-0.8275460684093927,-0.9910174239339575,0.9991558479450162,,,,False
,,J.PTPN22- 20 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,4,4,-0.9288357278237787,-1.3623028096494356,0.9947088482386315,,,,False
,,J.PTPN22- 50 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,-1.003636827797184,-1.2018927061795528,0.9972761218350481,,,,False
,,J.PTPN22- 50 $\mu$M 5m,J.TCPTP- 50 $\mu$M 5m,4,4,0.15214969564952918,0.22315459199259474,0.9999999985912452,,,,False
,,J.SHP1- 0.125% DMSO 0m,J.SHP1- 50 $\mu$M 5m,4,2,1.0441338837107996,1.2503894480051287,0.9972761218350481,,,,False
,,J.SHP1- 0.125% DMSO 0m,J.TCPTP- 0.125% DMSO 0m,4,4,-0.011420835090032977,-0.01675068611771426,0.9999999999595871,,,,False
,,J.SHP1- 0.125% DMSO 5m,J.SHP1- 50 $\mu$M 5m,4,2,7.176954688490203,8.594672150094372,5.871747532637528e-11,,,,True
,,J.SHP1- 0.125% DMSO 5m,J.TCPTP- 0.125% DMSO 5m,4,4,-0.6346054577470834,-0.930761782961624,0.9994238930303607,,,,False
,,J.SHP1- 0.2 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,6.776790383156999,8.11546040085137,4.254117058621887e-10,,,,True
,,J.SHP1- 2 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,5.706386115434273,6.83361118367678,8.526210004689005e-08,,,,True
,,J.SHP1- 20 $\mu$M 5m,J.SHP1- 50 $\mu$M 5m,4,2,-0.9858982190344381,-1.180650057544876,0.9972761218350481,,,,False
,,J.SHP1- 20 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,4,4,-1.087187878448824,-1.5945544051128884,0.9713690059869506,,,,False
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 0.125% DMSO 0m,2,4,-1.0555547188008327,-1.264066325948436,0.9972761218350481,,,,False
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 0.125% DMSO 5m,2,4,-7.811560146237286,-9.354635963540732,2.608580018659268e-12,,,,True
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 0.2 $\mu$M 5m,2,4,-7.348393644407911,-8.79997672338786,2.5244917267741585e-11,,,,True
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 2 $\mu$M 5m,2,4,-5.782510174826848,-6.924772597063261,5.992816953792612e-08,,,,True
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 20 $\mu$M 5m,2,4,-0.10128965941438595,-0.12129816233304139,0.9999999999321355,,,,False
,,J.SHP1- 50 $\mu$M 5m,J.TCPTP- 50 $\mu$M 5m,2,4,1.1557865234467133,1.384097667559828,0.9947088482386315,,,,False


